TestName,Loops,Min memory available,Max memory available,Avg memory available,Total coroutine resizings
Test001TurnOnBytecode,3,1916,1986,1962.66666666667,0
Test002TurnOffBytecode,3,1916,1986,1962.66666666667,0
Test003ReadWriteBytecode,3,1914,1986,1962,0
Test004PushBytecode,3,1914,1986,1962,0
Test005PushWithFloatingPointVariable,3,1910,1986,1960.66666666667,0
Test006PopBytecode,4,1906,1986,1946,0
Test007PrimBytecode,4,1910,1986,1948,0
Test008JZBytecode,4,1908,1986,1947,0
Test009TickingRate,6,1906,1986,1932.66666666667,0
Test010MultipleScriptsWithDifferentTickingRates,6,1843,1986,1890.66666666667,0
Test011YieldInstruction,5,1912,1986,1941.6,0
Test012YieldInstructionPreservesStack,5,1890,1986,1928.4,0
Test013YieldInstructionResumesOnNextTick,6,1908,1986,1934,0
Test014PrimitiveYieldTime,8,1902,1986,1923,0
Test015YieldAfterBackwardsJump,8,1827,1986,1867.75,1
Test016ScriptCallWithoutParametersOrReturnValue,102,1867,1986,1869.33333333333,0
Test017ScriptCallWithoutParametersWithReturnValueAndExplicitReturn,119,1859,1986,1861.13445378151,0
Test018ScriptTickingWithExplicitReturn,102,1886,1986,1887.96078431373,0
Test019ScriptWithYieldBeforeEndOfScript,4002,1875,1986,1875.05547226387,0
Test020ScriptCallWithOneParameterAndReturnValue,102,1838,1986,1840.90196078431,0
Test021ScriptCallWithOneParameterWithoutReturnValue,102,1846,1986,1848.74509803922,0
Test022ScriptCallWithOneParameterWithoutReturnValueWithExplicitReturn,102,1842,1986,1844.82352941176,0
Test023ScriptCallWithTwoParametersWithoutReturnValueWithExplicitReturn,102,1840,1986,1842.86274509804,0
Test024ScriptCallWithTwoParametersWithReturnValue,102,1832,1986,1835.01960784314,0
Test025ScriptCallWithRecursiveCall4LevelsDeep,102,1845,1986,1847.76470588235,0
Test026ScriptTickingThatAlsoCallsItself,10,1748,1986,1796.4,1
Test027PrimitiveCoroutineShouldReturnTheIndexOfTheActiveScript,8,1802,1986,1856,0
Test028PrimitiveBitwiseAnd,103,1875,1986,1877.15533980583,0
Test029PrimitiveBitwiseOr,102,1880,1986,1882.07843137255,0
Test030PrimitiveLogicalAnd,102,1888,1986,1889.92156862745,0
Test031PrimitiveLogicalOr,102,1888,1986,1889.92156862745,0
Test032StopScriptAndRestartShouldResetPCAndStuff,2002,1807,1986,1807.25874125874,2
Test033StopCurrentScriptShouldStopImmediatelyAndPCShouldReturnToTheStart,102,1839,1986,1841.88235294118,0
Test034StartOnTheCurrentTaskShouldJumpToTheBeginning,102,1904,1986,1905.60784313725,0
Test035StartOnAnotherTaskShouldResetToBeginning,102,1825,1986,1828.1568627451,1
Test036ResumeOnARunningTaskShouldHaveNoEffect,1002,1825,1986,1825.32135728543,1
Test037ResumeOnAPausedTaskShouldContinueFromItsCurrentPC,1002,1833,1986,1833.30538922156,1
Test038ResumeOnStoppedTaskShouldJumpToBeginning,102,1845,1986,1847.76470588235,0
Test039StartOnStoppedTaskShouldJumpToBeginning,102,1845,1986,1847.76470588235,0
Test040StartOnPausedTaskShouldJumpToBeginning,102,1837,1986,1839.92156862745,1
Test041PausingShouldPreserveTheStack,302,1766,1986,1767.45695364238,1
Test042EmptyScriptShouldNotCrashTheVM,3,1918,1986,1963.33333333333,0
Test043ForLoop,7,1880,1986,1910.28571428571,0
Test044ReversedForLoop,7,1880,1986,1910.28571428571,0
Test045ForLoopWithoutConstantStep,7,1858,1986,1894.57142857143,0
Test046ReverseForLoopWithoutConstantStep,7,1858,1986,1894.57142857143,0
Test047ForLoopShouldOnlyEvaluateStepOncePerIteration,102,1786,1986,1789.92156862745,0
Test048MutexShouldGuaranteeACriticalSection,1202,1553,1986,1565.36772046589,3
Test049ChannelShouldDeadlockIfConsumingFromTheSameTaskAsProducer,10002,1654,1986,1654.22635472905,1
Test050ChannelWithMultipleProducersAndNoConsumerShouldBlockAllProducers,10002,1407,1986,1407.11577684463,3
Test051ChannelWithOneProducerAndOneConsumerBlocksTheProducerAtTheRateOfConsumer,90002,1612,1986,1612.00853314371,2
Test052ChannelWithMultipleProducersAndOneConsumer,2002,1241,1986,1241.75424575425,6
Test053ChannelWithMultipleConsumersAndOneProducer,902,1347,1986,1348.44345898004,5
Test054VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther,102,1878,1986,1880.11764705882,0
Test055VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther,102,1886,1986,1887.96078431373,0
Test056Round,3,1865,1986,1945.66666666667,0
Test057Ceil,3,1865,1986,1945.66666666667,0
Test058Floor,3,1865,1986,1945.66666666667,0
Test059Sqrt,3,1898,1986,1956.66666666667,0
Test060Abs,3,1869,1986,1947,0
Test061NaturalLogarithm,3,1861,1986,1944.33333333333,0
Test062Log10,3,1861,1986,1944.33333333333,0
Test063Exp,3,1869,1986,1947,0
Test064Pow10,3,1869,1986,1947,0
Test065IsCloseTo,3,1833,1986,1935,0
Test066Asin,3,1865,1986,1945.66666666667,0
Test067Acos,3,1865,1986,1945.66666666667,0
Test068Atan,3,1869,1986,1947,0
Test069Power,3,1863,1986,1945,0
Test070IsOn,102,1894,1986,1895.80392156863,0
Test071IsOff,102,1894,1986,1895.80392156863,0
Test072Mod,8,1821,1986,1862.25,0
Test073Constrain,3,1837,1986,1936.33333333333,0
Test074RandomInt,102,1847,1986,1849.72549019608,0
Test075Random,102,1860,1986,1862.47058823529,0
Test076IsEven,3,1855,1986,1942.33333333333,0
Test077IsOdd,3,1859,1986,1943.66666666667,0
Test078IsPrime,3,1851,1986,1941,0
Test079IsWhole,3,1851,1986,1941,0
Test080IsPositive,3,1851,1986,1941,0
Test081IsNegative,3,1855,1986,1942.33333333333,0
Test082IsDivisibleBy,3,1839,1986,1937,0
Test083DelayS,5,1906,1986,1938,0
Test084DelayM,5,1906,1986,1938,0
Test085Minutes,802,1854,1986,1854.32917705736,0
Test086Seconds,802,1854,1986,1854.32917705736,0
Test087Millis,802,1849,1986,1849.34164588529,0
Test088ScriptCallOverridingPrimitive,202,1859,1986,1860.25742574257,0
Test089DebuggerBreakpointHaltsAllScripts,5040002,1815,1986,1816.60484499808,2
Test090DebuggerBreakpointHaltsAreDeterministic,62007,1662,1986,1664.59106229942,1
Test091ChangingTheProgramResetsTheVMState,606,1886,1986,1891.70297029703,1
Test092DebuggerSetAllBreakpoints,8,1902,1986,1924,1
Test093DebuggerSetAllBreakpointsWithMultipleScripts,8,1839,1986,1879.75,2
TOTAL,5230535,170740,184698,173721.859680346,36
