name,instruction-count,global-count,encoded-size
MIN,0,0,2
MAX,182,27,321
AVERAGE,22.58789625360231,5.599423631123919,46.27953890489914
MEDIAN,12,4,31
middleware.checker-test/assignment-value-should-be-an-expression#0,4,4,12
middleware.checker-test/assignments-are-not-expressions#0,0,0,2
middleware.checker-test/attempting-to-start-or-stop-a-non-existing-task-should-fail#0,15,9,38
middleware.checker-test/attempting-to-start-or-stop-a-non-existing-task-should-fail#1,6,7,18
middleware.checker-test/attempting-to-start-or-stop-a-non-existing-task-should-fail#2,15,9,38
middleware.checker-test/attempting-to-start-or-stop-a-non-existing-task-should-fail#3,6,7,18
middleware.checker-test/block-should-only-contain-statements#0,0,1,4
middleware.checker-test/block-should-only-contain-statements#1,9,3,20
middleware.checker-test/call-args-should-be-expressions#0,4,3,11
middleware.checker-test/conditional-branches-should-be-blocks#0,15,3,31
middleware.checker-test/conditions-should-be-expressions#0,11,3,23
middleware.checker-test/global-declarations-only-allow-literals#0,0,1,4
middleware.checker-test/global-declarations-only-allow-literals#1,0,1,4
middleware.checker-test/global-declarations-only-allow-literals#2,0,1,4
middleware.checker-test/local-declaration-value-should-be-an-expression#0,4,3,14
middleware.checker-test/logical-operators-should-have-expression-operands#0,13,3,25
middleware.checker-test/logical-operators-should-have-expression-operands#1,13,3,25
middleware.checker-test/loop-body-should-contain-only-statements#0,20,5,41
middleware.checker-test/only-compile-time-expressions-are-allowed-inside-import-init-blocks#0,0,0,2
middleware.checker-test/only-compile-time-expressions-are-allowed-inside-import-init-blocks#1,0,0,2
middleware.checker-test/only-compile-time-expressions-are-allowed-inside-import-init-blocks#2,0,0,2
middleware.checker-test/program-with-primitive-declaration#0,0,0,2
middleware.checker-test/repeat-times-should-be-an-expression#0,22,5,43
middleware.checker-test/repeat-times-should-be-an-expression#1,20,4,40
middleware.checker-test/return-value-should-either-be-nil-or-an-expression#0,0,0,2
middleware.checker-test/return-value-should-either-be-nil-or-an-expression#1,0,0,2
middleware.checker-test/script-call-can-provide-less-arguments-than-required#0,11,3,23
middleware.checker-test/script-call-can-provide-less-arguments-than-required#1,11,3,23
middleware.checker-test/script-call-should-either-provide-named-or-anonymous-arguments-but-not-both#0,11,4,24
middleware.checker-test/script-call-should-either-provide-named-or-anonymous-arguments-but-not-both#1,11,4,24
middleware.checker-test/script-control-nodes-should-refer-to-existing-scripts#0,10,3,23
middleware.checker-test/variable-names-should-not-collide#0,0,0,2
middleware.checker-test/variable-names-should-not-collide#1,6,2,19
middleware.checker-test/variable-names-should-not-collide#2,3,4,15
middleware.checker-test/variables-declared-inside-a-block-should-not-collide-with-variables-already-declared-outside#0,2,3,12
middleware.code-generator-test/blink13#0,9,4,24
middleware.code-generator-test/control-structures#0,36,4,73
middleware.code-generator-test/control-structures-part-II#0,5,4,17
middleware.code-generator-test/empty-program#0,0,0,2
middleware.code-generator-test/empty-script-running-once#0,0,1,4
middleware.code-generator-test/empty-script-stopped#0,0,0,2
middleware.code-generator-test/empty-script-ticking#0,0,1,10
middleware.code-generator-test/function-with-arguments#0,0,0,2
middleware.code-generator-test/functions-with-calls-and-globals#0,0,0,2
middleware.code-generator-test/motor-usage#0,45,10,76
middleware.code-generator-test/multiple-global-declaration#0,0,0,2
middleware.code-generator-test/primitive-definition#0,8,3,20
middleware.code-generator-test/procedure-with-argument#0,0,0,2
middleware.code-generator-test/sonar-and-button#0,47,12,103
middleware.code-generator-test/uninitialized-global-declaration#0,0,0,2
middleware.code-generator-test/uzi-syntax#0,32,13,76
middleware.code-generator-test2/blink13#0,9,4,24
middleware.code-generator-test2/blink13#1,9,4,24
middleware.code-generator-test2/control-structures#0,36,4,73
middleware.code-generator-test2/control-structures#1,36,4,73
middleware.code-generator-test2/control-structures-part-II#0,5,4,17
middleware.code-generator-test2/control-structures-part-II#1,5,4,17
middleware.code-generator-test2/custom-operator-precedence#0,0,0,2
middleware.code-generator-test2/custom-operator-precedence#1,0,0,2
middleware.code-generator-test2/empty-program#0,0,0,2
middleware.code-generator-test2/empty-program#1,0,0,2
middleware.code-generator-test2/function-with-arguments#0,0,0,2
middleware.code-generator-test2/function-with-arguments#1,0,0,2
middleware.code-generator-test2/functions-with-calls-and-globals#0,0,0,2
middleware.code-generator-test2/functions-with-calls-and-globals#1,0,0,2
middleware.code-generator-test2/motor-usage#0,45,10,76
middleware.code-generator-test2/motor-usage#1,45,10,76
middleware.code-generator-test2/operator-precedence#0,0,0,2
middleware.code-generator-test2/operator-precedence#1,0,0,2
middleware.code-generator-test2/parsing-negative-numbers-larger-than-minus-1#0,2,2,11
middleware.code-generator-test2/parsing-negative-numbers-larger-than-minus-1#1,2,2,11
middleware.code-generator-test2/primitive-definition#0,8,3,20
middleware.code-generator-test2/primitive-definition#1,8,3,20
middleware.code-generator-test2/procedure-with-argument#0,0,0,2
middleware.code-generator-test2/procedure-with-argument#1,0,0,2
middleware.code-generator-test2/sonar-and-button#0,47,12,103
middleware.code-generator-test2/sonar-and-button#1,47,12,103
middleware.code-generator-test2/uzi-syntax#0,32,13,76
middleware.code-generator-test2/uzi-syntax#1,32,13,76
middleware.compiler-autogen-test/Test043ForLoop#0,17,4,37
middleware.compiler-autogen-test/Test044ReversedForLoop#0,17,5,37
middleware.compiler-autogen-test/Test045ForLoopWithoutConstantStep#0,24,5,51
middleware.compiler-autogen-test/Test046ReverseForLoopWithoutConstantStep#0,24,5,55
middleware.compiler-autogen-test/Test047ForLoopShouldOnlyEvaluateStepOncePerIteration#0,33,5,67
middleware.compiler-autogen-test/Test048MutexShouldGuaranteeACriticalSection#0,65,11,124
middleware.compiler-autogen-test/Test049ChannelShouldDeadlockIfConsumingFromTheSameTaskAsProducer#0,71,10,119
middleware.compiler-autogen-test/Test050ChannelWithMultipleProducersAndNoConsumerShouldBlockAllProducers#0,54,13,104
middleware.compiler-autogen-test/Test051ChannelWithOneProducerAndOneConsumerBlocksTheProducerAtTheRateOfConsumer#0,64,10,110
middleware.compiler-autogen-test/Test052ChannelWithMultipleProducersAndOneConsumer#0,77,13,144
middleware.compiler-autogen-test/Test053ChannelWithMultipleConsumersAndOneProducer#0,78,13,137
middleware.compiler-autogen-test/Test054VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther#0,18,5,42
middleware.compiler-autogen-test/Test055VariablesWithTheSameNameInDifferentScopesShouldNotInterfereWithEachOther#0,14,5,36
middleware.compiler-autogen-test/Test056Round#0,12,7,40
middleware.compiler-autogen-test/Test057Ceil#0,12,7,40
middleware.compiler-autogen-test/Test058Floor#0,12,7,40
middleware.compiler-autogen-test/Test059Sqrt#0,4,3,20
middleware.compiler-autogen-test/Test060Abs#0,12,7,36
middleware.compiler-autogen-test/Test061NaturalLogarithm#0,14,8,36
middleware.compiler-autogen-test/Test062Log10#0,14,8,36
middleware.compiler-autogen-test/Test063Exp#0,12,7,36
middleware.compiler-autogen-test/Test064Pow10#0,12,7,36
middleware.compiler-autogen-test/Test065IsCloseTo#0,78,12,157
middleware.compiler-autogen-test/Test066Asin#0,60,10,126
middleware.compiler-autogen-test/Test067Acos#0,60,9,126
middleware.compiler-autogen-test/Test068Atan#0,12,7,36
middleware.compiler-autogen-test/Test069Power#0,15,8,36
middleware.compiler-autogen-test/Test070IsOn#0,21,4,45
middleware.compiler-autogen-test/Test071IsOff#0,21,4,45
middleware.compiler-autogen-test/Test072Mod#0,42,10,68
middleware.compiler-autogen-test/Test073Constrain#0,36,10,75
middleware.compiler-autogen-test/Test074RandomInt#0,31,7,69
middleware.compiler-autogen-test/Test075Random#0,29,5,58
middleware.compiler-autogen-test/Test076IsEven#0,25,9,55
middleware.compiler-autogen-test/Test077IsOdd#0,25,10,52
middleware.compiler-autogen-test/Test078IsPrime#0,57,10,103
middleware.compiler-autogen-test/Test079IsWhole#0,24,9,62
middleware.compiler-autogen-test/Test080IsPositive#0,23,9,56
middleware.compiler-autogen-test/Test081IsNegative#0,23,9,55
middleware.compiler-autogen-test/Test082IsDivisibleBy#0,42,11,84
middleware.compiler-autogen-test/Test085Minutes#0,40,8,67
middleware.compiler-autogen-test/Test086Seconds#0,38,7,64
middleware.compiler-autogen-test/Test087Millis#0,34,7,61
middleware.compiler-autogen-test/Test088ScriptCallOverridingPrimitive#0,22,4,49
middleware.compiler-autogen-test/Test089DebuggerBreakpointHaltsAllScripts#0,25,5,51
