,Loops,Memory used (bytes),Total coroutine resizings
MIN,2,22,0
MAX,5040003,923,6
AVERAGE,44088.2814814815,223.696296296296,0.259259259259259
MEDIAN,13,172,0
Test001TurnOnBytecode,4,79,0
Test002TurnOffBytecode,4,79,0
Test003ReadWriteBytecode,4,81,0
Test004PushBytecode,4,81,0
Test005PushWithFloatingPointVariable,4,85,0
Test006PopBytecode,5,89,0
Test007PrimBytecode,5,95,0
Test008JZBytecode,5,87,0
Test009TickingRate,7,97,0
Test010MultipleScriptsWithDifferentTickingRates,7,167,0
Test011YieldInstruction,6,83,0
Test012YieldInstructionPreservesStack,6,133,0
Test013YieldInstructionResumesOnNextTick,7,87,0
Test014PrimitiveYieldTime,9,93,0
Test015YieldAfterBackwardsJump,9,179,1
Test016ScriptCallWithoutParametersOrReturnValue,103,147,0
Test017ScriptCallWithoutParametersWithReturnValueAndExplicitReturn,120,157,0
Test018ScriptTickingWithExplicitReturn,103,137,0
Test019ScriptWithYieldBeforeEndOfScript,4003,139,0
Test020ScriptCallWithOneParameterAndReturnValue,103,169,0
Test021ScriptCallWithOneParameterWithoutReturnValue,103,131,0
Test022ScriptCallWithOneParameterWithoutReturnValueWithExplicitReturn,103,137,0
Test023ScriptCallWithTwoParametersWithoutReturnValueWithExplicitReturn,103,139,0
Test024ScriptCallWithTwoParametersWithReturnValue,103,147,0
Test025ScriptCallWithRecursiveCall4LevelsDeep,103,143,0
Test026ScriptTickingThatAlsoCallsItself,2,22,0
Test027PrimitiveCoroutineShouldReturnTheIndexOfTheActiveScript,9,169,0
Test028PrimitiveBitwiseAnd,104,119,0
Test029PrimitiveBitwiseOr,103,115,0
Test030PrimitiveLogicalAnd,103,135,0
Test031PrimitiveLogicalOr,103,135,0
Test032StopScriptAndRestartShouldResetPCAndStuff,2003,195,2
Test033StopCurrentScriptShouldStopImmediatelyAndPCShouldReturnToTheStart,103,171,0
Test034StartOnTheCurrentTaskShouldJumpToTheBeginning,103,135,0
Test035StartOnAnotherTaskShouldResetToBeginning,103,197,1
Test036ResumeOnARunningTaskShouldHaveNoEffect,1003,197,1
Test037ResumeOnAPausedTaskShouldContinueFromItsCurrentPC,1003,189,1
Test038ResumeOnStoppedTaskShouldJumpToBeginning,103,181,0
Test039StartOnStoppedTaskShouldJumpToBeginning,103,181,0
Test040StartOnPausedTaskShouldJumpToBeginning,103,185,1
Test041PausingShouldPreserveTheStack,303,223,1
Test042EmptyScriptShouldNotCrashTheVM,4,77,0
Test043ForLoop,53,166,0
Test044ReversedForLoop,53,166,0
Test045ForLoopWithoutConstantStep,53,185,0
Test046ReverseForLoopWithoutConstantStep,53,185,0
Test047ForLoopShouldOnlyEvaluateStepOncePerIteration,10003,193,0
Test048MutexShouldGuaranteeACriticalSection,1203,396,3
Test049ChannelShouldDeadlockIfConsumingFromTheSameTaskAsProducer,10003,354,1
Test050ChannelWithMultipleProducersAndNoConsumerShouldBlockAllProducers,10003,454,3
Test051ChannelWithOneProducerAndOneConsumerBlocksTheProducerAtTheRateOfConsumer,90003,335,2
Test052ChannelWithMultipleProducersAndOneConsumer,2003,632,6
